school	platform	section	field_name_verbatim	normalized_key	type	limit	required	source_url	source_type	checked_date
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Citizenship status	citizenship_status	dropdown	选项6个: Australian Citizen / New Zealand Citizen / Permanent Visa holder / Permanent Humanitarian Visa holder / Pacific Engagement Visa / International Student (none of the above)	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	My passport or official ID shows a single name only (no family name)	single_name_flag	checkbox	无限制(来源明示)	选填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Given name	given_name	text	maxlength=50 (HTML) 但帮助文字写 "Maximum 30 characters." — 两者冲突,以帮助文字为准	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Middle name	preferred_name	text	maxlength=50	选填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Family name	family_name	text	maxlength=50 (HTML) 但帮助文字写 "Maximum 30 characters." — 两者冲突,以帮助文字为准	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Email	email	text	maxlength=70	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Confirm email	email_confirm	text	maxlength=70	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Create password	password	text	minlength=8, maxlength=50	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Confirm password	password_confirm	text	minlength=8, maxlength=50	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Are you currently in Australia or do you already hold a valid Australian visa?	currently_in_australia_yn	dropdown	Yes/No	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Are you intending on applying for a student visa?	intends_student_visa_yn	dropdown	Yes/No	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	Do you intend to apply for a Higher Degree by Research program, the Doctor of Medicine (Ochsner) program, non-award study, or a study abroad or incoming exchange program?	program_type_screener_yn	dropdown	Yes/No	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	What is your country of citizenship?	citizenship_country	dropdown	ISO 国家列表(约250项)	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	I have read and understand that any information provided will be collected and used in accordance with UQ’s Privacy Policy and UQ’s Marketing consent and privacy notice	privacy_marketing_consent	checkbox	无限制(来源明示)	未确认	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login)	I have read, understand, and agree to the Flywire Terms of Use and Privacy Policy	flywire_terms_consent	checkbox	无限制(来源明示)	必填	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Registration (pre-login) — agent gate	We currently require applicants from your country of citizenship to apply using a UQ-approved agent.	agent_used_yn	radio	无限制(来源明示)	条件必填(按 country of citizenship 由 JS checkNationality() 触发;命中国籍则无法自行注册,必须由 agent 代申)	https://apply.uq.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	Personal details	family_name	text	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	login-walled — not confirmable	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	gender	gender	dropdown	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	login-walled — not confirmable	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	date of birth	date_of_birth	date	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	login-walled — not confirmable	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	preferred name	preferred_name	text	未确认(登录墙后)	选填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	login-walled — not confirmable	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	Program of study	course_preference_1	dropdown	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	You can also add up to 2 other preferences	course_preference_2	dropdown	最多再加 2 个志愿(合计 3)	选填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	start date / intake semester	intake_term	dropdown	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	login-walled — not confirmable	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	specific major or field of study	study_mode	dropdown	未确认(登录墙后)	条件必填(部分项目必选;申请学分抵免也必选)	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	login-walled — not confirmable	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	Previous study	institution_name	repeatable-group	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	certified copies of complete academic transcripts	transcript_upload	file	格式建议 PDF ("Upload documents as PDFs to reduce their file size");单文件 MB 上限 未确认(登录墙后)	必填(非 UQ 学历)	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	award certificate or testamur	degree_certificate_upload	file	未确认(登录墙后)	条件必填(成绩单未载明学位名称与授予日期时)	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	share your transcripts online via My eQuals	transcript_delivery_method	dropdown	无限制(来源明示)	条件必填(此前在澳/新读书者可选此途径替代上传)	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	a copy of your passport or national ID card	passport_scan	file	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	documentation demonstrating your English language proficiency	english_test_report_upload	file	未确认(登录墙后)	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	you would like to apply for an English language pathway package	english_pathway_package_yn	checkbox	无限制(来源明示)	选填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	you want to arrange your Overseas Student Health Cover through UQ	oshc_selection	checkbox	无限制(来源明示)	选填(申请阶段勾选意向;实际支付在接受 offer 阶段)	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Application form (post-login)	be assessed for credit or exemptions	credit_request_yn	radio	未确认(登录墙后)	选填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Submit	A$150 fee for each application you submit	application_fee_payment	text	A$150 每份申请,不可退	必填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	After submission (portal)	provide referee details	referee_details	repeatable-group	未确认(登录墙后) — 字段结构与是否触发系统邮件均无法从公开页确认	未确认(授课型硕士 checklist 未列推荐信;此功能在 portal 中存在)	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	After submission (portal)	upload documentation	transcript_upload	file	未确认(登录墙后)	选填	https://study.uq.edu.au/admissions/postgraduate-coursework/submit-your-application	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Offer acceptance	pay your Overseas Student Health Cover (if you’re organising this through UQ)	oshc_selection	text	无限制(来源明示)	条件必填(选择由 UQ 代办 OSHC 时)	https://study.uq.edu.au/admissions/postgraduate-coursework/respond-your-offer	official how-to-apply page	2026-08-14
UQ	StudyLink Connect (Flywire)	Offer acceptance	UQ will issue your Confirmation of Enrolment (CoE)	coe_confirmation_of_enrolment	text	无限制(来源明示) — 由校方签发,非申请人填写字段	条件必填(非申请人填写字段——由校方在接受 offer 并完成付费后签发,申请阶段无此输入框)	https://study.uq.edu.au/sites/default/files/2023-05/international-guide-undergraduate-postgraduate.pdf	official PDF application guide	2026-08-14
UNSW	StudyLink Connect (Flywire)	Registration (pre-login)	You may not register on this portal.	password	text	无 — 直接 GET registration.form 返回此拒绝信息;UNSW 登录走 /sso/saml.cfm (SAML SSO)。FAQ 则称首页有 ‘Register Now’,两处说法不一致	未确认	https://apply.unsw.edu.au/index.cfm?event=registration.form&termsAccepted=1	live public form	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	you may include up to three programs in your preferences	course_preference_1	dropdown	最多 3 个专业志愿,同一时间只能有一份 in-flight 申请	必填	https://www.unsw.edu.au/study/how-to-apply/apply-online-faqs	official how-to-apply page	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	Are you seeking credit for any of the above studies?	credit_request_yn	radio	无限制(来源明示)	选填	https://www.unsw.edu.au/study/how-to-apply/apply-online-faqs	official how-to-apply page	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	detailed course outlines	credit_advanced_standing_request	file	未确认(登录墙后)	条件必填(本科申请且申请学分抵免时)	https://www.unsw.edu.au/study/how-to-apply/apply-online-faqs	official how-to-apply page	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	supporting documents	transcript_upload	file	PDF / JPG / TIF,单文件最大 10Mb	必填	https://my.unsw.edu.au/apply/doc_attachment_guidelines.html	official checklist	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	a complete English translation	translation_upload	file	PDF / JPG / TIF,单文件最大 10Mb	条件必填(文件非英文时)	https://my.unsw.edu.au/apply/doc_attachment_guidelines.html	official checklist	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	Copies of recognised undergraduate degree, showing all grades and proof of completion/degree awarded	transcript_upload	file	PDF / JPG / TIF,单文件最大 10Mb	必填	https://www.unsw.edu.au/business/our-schools/agsm/learn-with-us/agsm-programs/how-to-apply	official checklist	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	semester breakdown mark sheets	transcript_upload	file	PDF / JPG / TIF,单文件最大 10Mb	条件必填(持印度学历者)	https://www.unsw.edu.au/business/our-schools/agsm/learn-with-us/agsm-programs/how-to-apply	official checklist	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	Proof of identity	proof_of_identity_upload	file	PDF / JPG / TIF,单文件最大 10Mb	必填	https://www.unsw.edu.au/business/our-schools/agsm/learn-with-us/agsm-programs/how-to-apply	official checklist	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login)	application fee	application_fee_payment	text	AUD $150,仅限信用卡,不可退;国际研究型/UNSW Global Diploma/UNSW Canberra 项目免收	条件必填(授课型硕士国际生 必填)	https://www.unsw.edu.au/study/how-to-apply/apply-online-faqs	official how-to-apply page	2026-08-14
UNSW	StudyLink Connect (Flywire)	Application form (post-login) — agent	Can I authorise someone else to apply on my behalf? No. You must personally complete the application to study at UNSW.	agent_used_yn	radio	无限制(来源明示) — 明文禁止他人代填,但认可 recognised agents 协助	未确认(公开页未见 agent code 字段)	https://www.unsw.edu.au/study/how-to-apply/apply-online-faqs	official how-to-apply page	2026-08-14
UNSW	StudyLink Connect (Flywire)	GS (post-offer)	Genuine Student (GS) Declaration	genuine_student_declaration	file	下载 PDF 表格线下填写后上传;字数上限 未确认(登录墙后)	条件必填(收到 full/conditional offer 且被通知需做 GS check 时)	https://www.unsw.edu.au/study/how-to-apply/international/gs-requirement	official how-to-apply page	2026-08-14
